"Is Business Address","È un indirizzo aziendale"
"Tax Code","Codice Fiscale"
"VAT Number","Partita IVA"
"Company","Azienda"
"Please, enter a valid Tax Code.","Per favore, inserisci un Codice Fiscale valido."
"Please, enter a valid VAT Number.","Per favore, inserisci una Partita IVA valida."
"Enable Webgriffe TaxIdPro","Abilita Webgriffe TaxIdPro"
"TaxIdPro allows your customers to specify if the address is a business one or not. TaxIdPro will ask for VAT Number in case of business address, otherwise will ask for Tax Code.","TaxIdPro consente ai tuoi clienti di specificare se l'indirizzo è aziendale o meno. TaxIdPro richiederà la Partita IVA per indirizzi aziendali, altrimenti richiederà il Codice Fiscale."
"Require Tax Code for addresses of this countries only","Richiedi il Codice Fiscale solo per indirizzi dei seguenti paesi."
"Specify for witch countries the Tax Code field will be mandatory.","Specifica per quali paesi il Codice Fiscale è obbligatorio."
"Require VAT Number for addresses of this countries only","Richiedi la Partita IVA solo per indirizzi dei seguenti paesi."
"Specify for witch countries the VAT Number field will be mandatory.","Specifica per quali paesi la Partita IVA è obbligatoria."
"Tax Code accepted formats","Formati accettati per il Codice Fiscale"
"Valid formats for the Tax Code value. See documentation for further information.","Formati validi per il Codice Fiscale. Vedere la documentazione per ulteriori informazioni."
"VAT Number accepted formats","Formati accettati per la Partita IVA"
"Valid formats for the VAT Number value. See documentation for further information.","Formati validi per la Partita IVA. Vedere la documentazione per ulteriori informazioni."
"""%s"" length must be %d characters.","""%s"" dev'essere di %d caratteri."
"""%s"" must contains only numbers.","""%s"" deve contenere solo numeri."
"""%s"" must contains only letters and numbers.","""%s"" deve contenere solo lettere e numeri."
"""Tax Code"" is not valid. The control character does not match.","Il ""Codice Fiscale"" non è valido. Il carattere di controllo non corrisponde."
"""Vat Number"" is not valid. The control character does not match.","La ""Partita IVA"" non è valida. Il carattere di controllo non corrisponde."
"""%s"" is not valid.","""%s"" non è valido."
"""Tax Code"" is not valid. is not valid.","Il ""Codice Fiscale"" non è valida."
"""Vat Number"" is not valid.","La ""Partita IVA"" non è valida."
